model_name	model_type	Seed	Window	gene	enhancers_per_gene	enhancers_called_on	Percentage_overlap	Percentage_overlap_50	Percentage_overlap_90	Percentage_off_target
All_Data_Test	Unbalanced	Twi14	1500	brk	9	5.2	18.7857142857	18.7857142857	18.7857142857	81.2142857143
All_Data_Test	Unbalanced	Dl09	1500	vnd	2	0.6	0	0	0	60
All_Data_Test	Unbalanced	Dl15	1500	hb	2	1.5	75	75	75	25
All_Data_Test	Unbalanced	Dl09	500	Kni	3	0.4	0	0	0	40
All_Data_Test	Unbalanced	Dl15	500	Kni	4	2.7	0	0	0	100
All_Data_Test	Unbalanced	Twi14	500	sog	3	2.6	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1000	Kr	2	2	0	0	0	100
All_Data_Test	Unbalanced	Dl15	2000	sog	2	1.7	50	50	50	40
All_Data_Test	Unbalanced	Twi14	500	vnd	8	4	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1500	sog	3	2.1	75	75	75	15
All_Data_Test	Unbalanced	Twi14	1500	Kni	5	2.7	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1000	hb	12	3.6	30	30	30	70
All_Data_Test	Unbalanced	Twi14	1500	eve	7	3	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1000	sna	9	6	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1500	hb	6	2.9	35.8333333333	35.8333333333	35.8333333333	64.1666666667
All_Data_Test	Unbalanced	Zld	1000	sna	8	5.4	19.0952380952	19.0952380952	19.0952380952	80.9047619048
All_Data_Test	Unbalanced	Dl15	1500	sog	3	1.9	83.3333333333	83.3333333333	83.3333333333	6.6666666667
All_Data_Test	Unbalanced	Zld	2000	vnd	4	2.7	37.5	37.5	37.5	62.5
All_Data_Test	Unbalanced	Dl09	1500	Kr	7	4.5	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1500	Kni	4	3	20.8333333333	20.8333333333	20.8333333333	79.1666666667
All_Data_Test	Unbalanced	Zld	500	sna	9	6	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1000	sog	3	2.1	93.3333333333	93.3333333333	93.3333333333	6.6666666667
All_Data_Test	Unbalanced	Dl15	1000	eve	5	3.2	76.6666666667	76.6666666667	76.6666666667	23.3333333333
All_Data_Test	Unbalanced	Dl09	1000	eve	4	2.1	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1000	Kr	12	5.6	0	0	0	100
All_Data_Test	Unbalanced	Dl09	2000	sog	3	2.6	28.3333333333	28.3333333333	28.3333333333	71.6666666667
All_Data_Test	Unbalanced	Dl09	2000	vnd	2	0.6	0	0	0	60
All_Data_Test	Unbalanced	Dl15	1000	brk	5	3.5	0	0	0	100
All_Data_Test	Unbalanced	Twi14	500	hb	14	4.2	0	0	0	100
All_Data_Test	Unbalanced	Dl09	1500	eve	4	2.1	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1500	Kr	2	2	50	50	50	50
All_Data_Test	Unbalanced	Zld	1000	rho	7	3.7	0	0	0	100
All_Data_Test	Unbalanced	Zld	1500	hb	6	2.6	44.1666666667	44.1666666667	44.1666666667	55.8333333333
All_Data_Test	Unbalanced	Twi14	2000	vnd	5	2.8	60	60	60	30
All_Data_Test	Unbalanced	Dl09	500	vnd	2	0.6	0	0	0	60
All_Data_Test	Unbalanced	Twi14	500	brk	14	4.8	0	0	0	100
All_Data_Test	Unbalanced	Zld	1500	Kr	10	6.3	16.4523809524	16.4523809524	16.4523809524	83.5476190476
All_Data_Test	Unbalanced	Dl09	1000	rho	6	3	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1000	rho	4	3.2	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1500	vnd	7	4.5	19.6666666667	19.6666666667	19.6666666667	80.3333333333
All_Data_Test	Unbalanced	Dl09	1000	hb	9	2.8	31.6666666667	31.6666666667	31.6666666667	68.3333333333
All_Data_Test	Unbalanced	Dl09	500	sog	3	2.7	0	0	0	100
All_Data_Test	Unbalanced	Zld	1000	vnd	6	3.4	0	0	0	100
All_Data_Test	Unbalanced	Dl09	1000	Kr	7	4.5	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1000	Kni	5	2.9	0	0	0	100
All_Data_Test	Unbalanced	Twi14	1000	brk	11	5	19.7738095238	19.7738095238	19.7738095238	80.2261904762
All_Data_Test	Unbalanced	Zld	2000	eve	6	3.9	0	0	0	100
All_Data_Test	Unbalanced	Zld	1500	Kni	4	2.9	25	25	25	75
All_Data_Test	Unbalanced	Dl15	1000	Kni	4	2.8	0	0	0	100
All_Data_Test	Unbalanced	Zld	500	sog	4	2.7	38.3333333333	38.3333333333	38.3333333333	61.6666666667
All_Data_Test	Unbalanced	Dl09	1500	hb	9	2.8	31.6666666667	31.6666666667	31.6666666667	68.3333333333
All_Data_Test	Unbalanced	Zld	2000	Kr	10	6.5	32.2698412698	32.2698412698	32.2698412698	67.7301587302
All_Data_Test	Unbalanced	Zld	1000	sog	4	2.5	41.6666666667	41.6666666667	41.6666666667	58.3333333333
All_Data_Test	Unbalanced	Dl09	2000	Kr	7	4.5	0	0	0	100
All_Data_Test	Unbalanced	Zld	2000	sna	8	5.5	34.6904761905	34.6904761905	34.6904761905	65.3095238095
All_Data_Test	Unbalanced	Twi14	2000	brk	7	3.5	0	0	0	100
All_Data_Test	Unbalanced	Twi14	500	Kr	13	6.3	0	0	0	100
All_Data_Test	Unbalanced	Twi14	2000	sog	3	2.2	85	85	85	15
All_Data_Test	Unbalanced	Twi14	2000	eve	6	3.3	28.1666666667	28.1666666667	28.1666666667	71.8333333333
All_Data_Test	Unbalanced	Zld	2000	rho	6	2.9	0	0	0	100
All_Data_Test	Unbalanced	Zld	1500	rho	7	3.6	30.1666666667	30.1666666667	30.1666666667	69.8333333333
All_Data_Test	Unbalanced	Dl15	2000	rho	1	0.9	90	90	90	0
All_Data_Test	Unbalanced	Dl09	1500	rho	6	3	0	0	0	100
All_Data_Test	Unbalanced	Dl09	1500	sna	6	4.5	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1500	rho	2	1.4	80	80	80	20
All_Data_Test	Unbalanced	Dl09	2000	brk	6	4.3	17.1666666667	17.1666666667	17.1666666667	82.8333333333
All_Data_Test	Unbalanced	Zld	500	Kni	5	3.4	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1500	vnd	2	1.8	45	45	45	45
All_Data_Test	Unbalanced	Zld	2000	Kni	3	2	0	0	0	100
All_Data_Test	Unbalanced	Dl09	2000	eve	4	2.1	0	0	0	100
All_Data_Test	Unbalanced	Dl15	500	sog	3	1.9	0	0	0	100
All_Data_Test	Unbalanced	Zld	500	rho	8	3.5	0	0	0	100
All_Data_Test	Unbalanced	Dl15	500	brk	5	3	0	0	0	90
All_Data_Test	Unbalanced	Zld	1500	vnd	5	3.5	0	0	0	100
All_Data_Test	Unbalanced	Zld	1000	hb	6	2.2	54.1666666667	54.1666666667	54.1666666667	45.8333333333
All_Data_Test	Unbalanced	Zld	1000	Kni	4	2.9	0	0	0	100
All_Data_Test	Unbalanced	Twi14	2000	rho	3	2.7	0	0	0	100
All_Data_Test	Unbalanced	Dl09	500	brk	6	4.3	0	0	0	100
All_Data_Test	Unbalanced	Dl09	1500	sog	3	2.6	28.3333333333	28.3333333333	28.3333333333	71.6666666667
All_Data_Test	Unbalanced	Zld	500	brk	9	3.6	0	0	0	100
All_Data_Test	Unbalanced	Twi14	500	Kni	5	2.8	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1000	hb	4	2.4	50	50	50	50
All_Data_Test	Unbalanced	Dl15	2000	Kni	3	2.2	0	0	0	100
All_Data_Test	Unbalanced	Dl09	1500	brk	6	4.2	0	0	0	100
All_Data_Test	Unbalanced	Twi14	2000	Kni	4	2.1	0	0	0	100
All_Data_Test	Unbalanced	Dl15	2000	vnd	2	1.8	90	90	90	0
All_Data_Test	Unbalanced	Dl15	1000	vnd	2	1.8	45	45	45	45
All_Data_Test	Unbalanced	Dl09	2000	Kni	3	0.4	0	0	0	40
All_Data_Test	Unbalanced	Dl09	500	eve	4	2.1	0	0	0	100
All_Data_Test	Unbalanced	Dl09	500	rho	6	3.2	0	0	0	100
All_Data_Test	Unbalanced	Twi14	2000	Kr	9	5.3	19.4285714286	19.4285714286	19.4285714286	80.5714285714
All_Data_Test	Unbalanced	Dl15	500	hb	4	2.4	0	0	0	100
All_Data_Test	Unbalanced	Dl15	2000	sna	6	5.5	36.6666666667	36.6666666667	36.6666666667	63.3333333333
All_Data_Test	Unbalanced	Zld	500	Kr	10	5.3	0	0	0	100
All_Data_Test	Unbalanced	Twi14	500	sna	12	6.7	0	0	0	100
All_Data_Test	Unbalanced	Zld	1500	sog	3	2.1	43.3333333333	43.3333333333	43.3333333333	46.6666666667
All_Data_Test	Unbalanced	Dl09	500	Kr	7	4.5	0	0	0	100
All_Data_Test	Unbalanced	Dl09	1000	brk	6	4.3	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1500	sna	6	5.3	19	19	19	81
All_Data_Test	Unbalanced	Zld	1500	brk	8	5.1	18.7619047619	18.7619047619	18.7619047619	81.2380952381
All_Data_Test	Unbalanced	Zld	1500	eve	7	3.2	0	0	0	100
All_Data_Test	Unbalanced	Dl15	500	rho	2	1.4	0	0	0	100
All_Data_Test	Unbalanced	Zld	1000	eve	8	3.1	0	0	0	100
All_Data_Test	Unbalanced	Twi14	2000	hb	5	1.8	63.3333333333	63.3333333333	63.3333333333	36.6666666667
All_Data_Test	Unbalanced	Dl15	500	eve	6	3.8	0	0	0	100
All_Data_Test	Unbalanced	Dl09	1000	Kni	3	0.4	0	0	0	40
All_Data_Test	Unbalanced	Twi14	1500	rho	4	3.3	31.6666666667	31.6666666667	31.6666666667	68.3333333333
All_Data_Test	Unbalanced	Dl09	1000	sog	3	2.7	31.6666666667	31.6666666667	31.6666666667	68.3333333333
All_Data_Test	Unbalanced	Dl15	2000	eve	3	1.6	55	55	55	35
All_Data_Test	Unbalanced	Dl15	2000	hb	2	1.6	70	70	70	30
All_Data_Test	Unbalanced	Zld	1000	brk	8	4.7	25.0238095238	25.0238095238	25.0238095238	74.9761904762
All_Data_Test	Unbalanced	Dl15	1500	eve	5	2.9	75	75	75	25
All_Data_Test	Unbalanced	Twi14	2000	sna	8	5.6	36.1904761905	36.1904761905	36.1904761905	63.8095238095
All_Data_Test	Unbalanced	Zld	500	eve	9	2.1	0	0	0	100
All_Data_Test	Unbalanced	Zld	2000	sog	3	2.2	38.3333333333	38.3333333333	38.3333333333	51.6666666667
All_Data_Test	Unbalanced	Dl09	2000	sna	6	4.4	23.3333333333	23.3333333333	23.3333333333	76.6666666667
All_Data_Test	Unbalanced	Zld	1500	sna	8	5.5	34.6904761905	34.6904761905	34.6904761905	65.3095238095
All_Data_Test	Unbalanced	Dl09	1500	Kni	3	0.4	0	0	0	40
All_Data_Test	Unbalanced	Zld	500	hb	7	3	0	0	0	100
All_Data_Test	Unbalanced	Zld	2000	brk	7	4.9	31.1666666667	31.1666666667	31.1666666667	68.8333333333
All_Data_Test	Unbalanced	Dl15	2000	Kr	2	2	50	50	50	50
All_Data_Test	Unbalanced	Dl15	500	sna	8	5.8	0	0	0	100
All_Data_Test	Unbalanced	Dl15	1000	sna	6	5.3	0	0	0	100
