model	gene	Percentage_overlap	Percentage_off_target
All_Data_Test_Twi14_2000	sna	36.1904761905	63.8095238095
All_Data_Test_Zld_500	eve	0	100
All_Data_Test_Zld_2000	sog	38.3333333333	51.6666666667
All_Data_Test_Dl09_2000	sna	23.3333333333	76.6666666667
All_Data_Test_Zld_1500	sna	34.6904761905	65.3095238095
All_Data_Test_Dl09_1500	Kni	0	40
All_Data_Test_Zld_500	hb	0	100
All_Data_Test_Zld_2000	brk	31.1666666667	68.8333333333
All_Data_Test_Dl15_2000	Kr	50	50
All_Data_Test_Dl15_500	sna	0	100
All_Data_Test_Dl15_1000	sna	0	100
All_Data_Test_Twi14_500	eve	0	100
All_Data_Test_Dl09_1000	sna	0	100
All_Data_Test_Zld_2000	hb	30.8333333333	69.1666666667
Dl15_train_cons_Test_Zld_500	vnd	0	100
Dl15_train_cons_Test_Twi14_500	rho	0	100
Dl15_train_cons_Test_Twi14_1000	eve	33.3333333333	66.6666666667
Dl15_train_cons_Test_Dl15_1500	brk	50	50
Dl15_train_cons_Test_Dl15_1000	rho	100	0
Dl15_train_cons_Test_Dl15_500	vnd	0	100
Dl15_train_cons_Test_Dl15_2000	brk	50	50
Dl15_train_cons_Test_Dl09_500	sna	0	100
Dl15_train_cons_Test_Twi14_1500	sna	22.1666666667	77.8333333333
Dl15_train_cons_Test_Dl09_2000	hb	30	70
Dl15_train_cons_Test_Dl09_500	hb	0	100
Dl15_train_cons_Test_Dl09_2000	rho	0	100
Dl15_train_cons_Test_Twi14_1000	sog	66.6666666667	33.3333333333
Dl15_train_cons_Test_Zld_1000	Kr	0	100
Dl15_train_cons_Test_Twi14_1500	Kr	78.3333333333	21.6666666667
Dl15_train_cons_Test_Dl15_500	Kr	0	100
Dl15_train_cons_Test_Dl09_1000	vnd	0	60
Dl15_train_cons_Test_Twi14_1000	vnd	46.6666666667	53.3333333333
Dl15_train_cons_Test_Twi14_1500	brk	41.6666666667	58.3333333333
Dl15_train_cons_Test_Dl09_1500	vnd	0	60
Dl15_train_cons_Test_Dl15_1500	hb	50	50
Dl15_train_cons_Test_Dl09_500	Kni	0	100
Dl15_train_cons_Test_Dl15_500	Kni	0	100
Dl15_train_cons_Test_Twi14_500	sog	0	100
Dl15_train_cons_Test_Dl15_1000	Kr	0	100
Dl15_train_cons_Test_Dl15_2000	sog	55	45
Dl15_train_cons_Test_Twi14_500	vnd	0	100
Dl15_train_cons_Test_Twi14_1500	sog	66.6666666667	33.3333333333
Dl15_train_cons_Test_Twi14_1500	Kni	0	100
Dl15_train_cons_Test_Twi14_1000	hb	32.5	67.5
Dl15_train_cons_Test_Twi14_1500	eve	0	100
Dl15_train_cons_Test_Twi14_1000	sna	0	100
Dl15_train_cons_Test_Twi14_1500	hb	46.6666666667	53.3333333333
Dl15_train_cons_Test_Zld_1000	sna	22.1666666667	77.8333333333
Dl15_train_cons_Test_Dl15_1500	sog	100	0
Dl15_train_cons_Test_Zld_2000	vnd	90	10
Dl15_train_cons_Test_Dl09_1500	Kr	0	100
Dl15_train_cons_Test_Dl15_1500	Kni	30	70
Dl15_train_cons_Test_Zld_500	sna	0	100
Dl15_train_cons_Test_Dl15_1000	sog	100	0
Dl15_train_cons_Test_Dl15_1000	eve	75	25
Dl15_train_cons_Test_Dl09_1000	eve	0	100
Dl15_train_cons_Test_Twi14_1000	Kr	0	100
Dl15_train_cons_Test_Dl09_2000	sog	50	50
Dl15_train_cons_Test_Dl09_2000	vnd	0	60
Dl15_train_cons_Test_Dl15_1000	brk	0	100
Dl15_train_cons_Test_Twi14_500	hb	0	100
Dl15_train_cons_Test_Dl09_1500	eve	0	100
Dl15_train_cons_Test_Dl15_1500	Kr	50	50
Dl15_train_cons_Test_Zld_1000	rho	0	100
Dl15_train_cons_Test_Zld_1500	hb	48.3333333333	51.6666666667
Dl15_train_cons_Test_Twi14_2000	vnd	100	0
Dl15_train_cons_Test_Dl09_500	vnd	0	60
Dl15_train_cons_Test_Twi14_500	brk	0	100
Dl15_train_cons_Test_Zld_1500	Kr	46.6666666667	53.3333333333
Dl15_train_cons_Test_Dl09_1000	rho	0	100
Dl15_train_cons_Test_Twi14_1000	rho	0	100
Dl15_train_cons_Test_Twi14_1500	vnd	46.6666666667	53.3333333333
Dl15_train_cons_Test_Dl09_1000	hb	31.6666666667	68.3333333333
Dl15_train_cons_Test_Dl09_500	sog	0	100
Dl15_train_cons_Test_Zld_1000	vnd	0	100
Dl15_train_cons_Test_Dl09_1000	Kr	0	100
Dl15_train_cons_Test_Twi14_1000	Kni	0	100
Dl15_train_cons_Test_Twi14_1000	brk	29.1666666667	70.8333333333
Dl15_train_cons_Test_Zld_2000	eve	0	100
Dl15_train_cons_Test_Zld_1500	Kni	33.3333333333	66.6666666667
Dl15_train_cons_Test_Dl15_1000	Kni	0	100
Dl15_train_cons_Test_Zld_500	sog	36.6666666667	63.3333333333
Dl15_train_cons_Test_Dl09_1500	hb	30	70
Dl15_train_cons_Test_Zld_2000	Kr	90	10
Dl15_train_cons_Test_Zld_1000	sog	33.3333333333	66.6666666667
Dl15_train_cons_Test_Dl09_2000	Kr	0	100
Dl15_train_cons_Test_Zld_2000	sna	45	55
Dl15_train_cons_Test_Twi14_2000	brk	0	100
Dl15_train_cons_Test_Twi14_500	Kr	0	100
Dl15_train_cons_Test_Twi14_2000	sog	90	10
Dl15_train_cons_Test_Twi14_2000	eve	33.3333333333	66.6666666667
Dl15_train_cons_Test_Zld_2000	rho	0	100
Dl15_train_cons_Test_Zld_1500	rho	31.6666666667	68.3333333333
Dl15_train_cons_Test_Dl15_2000	rho	100	0
Dl15_train_cons_Test_Dl09_1500	rho	0	100
Dl15_train_cons_Test_Dl09_1500	sna	0	100
Dl15_train_cons_Test_Dl15_1500	rho	100	0
Dl15_train_cons_Test_Dl09_2000	brk	33.3333333333	66.6666666667
Dl15_train_cons_Test_Zld_500	Kni	0	100
Dl15_train_cons_Test_Dl15_1500	vnd	50	50
Dl15_train_cons_Test_Zld_2000	Kni	0	100
Dl15_train_cons_Test_Dl09_2000	eve	0	100
Dl15_train_cons_Test_Dl15_500	sog	0	100
Dl15_train_cons_Test_Zld_500	rho	0	100
Dl15_train_cons_Test_Dl15_500	brk	0	100
Dl15_train_cons_Test_Zld_1500	vnd	0	100
Dl15_train_cons_Test_Zld_1000	hb	48.3333333333	51.6666666667
Dl15_train_cons_Test_Zld_1000	Kni	0	100
Dl15_train_cons_Test_Twi14_2000	rho	0	100
Dl15_train_cons_Test_Dl09_500	brk	0	100
Dl15_train_cons_Test_Dl09_1500	sog	41.6666666667	58.3333333333
Dl15_train_cons_Test_Zld_500	brk	0	100
Dl15_train_cons_Test_Twi14_500	Kni	0	100
Dl15_train_cons_Test_Dl15_1000	hb	33.3333333333	66.6666666667
Dl15_train_cons_Test_Dl15_2000	Kni	0	100
Dl15_train_cons_Test_Dl09_1500	brk	0	100
Dl15_train_cons_Test_Twi14_2000	Kni	0	100
Dl15_train_cons_Test_Dl15_2000	vnd	100	0
Dl15_train_cons_Test_Dl15_1000	vnd	50	50
Dl15_train_cons_Test_Dl09_2000	Kni	0	100
Dl15_train_cons_Test_Dl09_500	eve	0	100
Dl15_train_cons_Test_Dl09_500	rho	0	100
Dl15_train_cons_Test_Twi14_2000	Kr	75.8333333333	24.1666666667
Dl15_train_cons_Test_Dl15_500	hb	0	100
Dl15_train_cons_Test_Dl15_2000	sna	45	55
Dl15_train_cons_Test_Zld_500	Kr	0	100
Dl15_train_cons_Test_Twi14_500	sna	0	100
Dl15_train_cons_Test_Zld_1500	sog	35	65
Dl15_train_cons_Test_Dl09_500	Kr	0	100
